车名,用户ID,最满意,最不满意,空间,驾驶感受,续航,外观,内饰,性价比,智能化
Model Y 2024款 后轮驱动版,沈阳车友4560530,加速体验非常满意，空间也比之前开的传统车大上不少。而且上车下车一个手机足矣，不需要带钥匙。还有就是春天续航和表显基本能保持一致。使用费用跟传统燃油车相比确实非常低。沈阳地区晚上充电4毛5左右，充满也只需要30左右。一公里不到1毛钱，开上特斯拉就没考虑过公里数！,"1、导航！非常不好用！道路标识时有时无，经常到路口了才发现自己站错道了。
2、语音识别经常出错。
3、hw4.0车型没有雷达！停车时前后车距不清晰。不知道是不是我车个例原因还是都有这个问题，等信号灯时，如果前车是大公交车，公交车已经启动开远了，我的车机还会显示警报。
4、天冷时开空调特别热！天热时开空调又特别冷。都是调节到21度。但是确实体感不是那么舒服。",前后背箱空间足以三口之家出行旅游所需空间，家里孩子比较小，有自己的被褥和枕头之类的一个前背箱足以放下孩子所需的物品。后备箱放了一个床垫和隐私帘。自驾游时开车累了可以躺下休息。毕竟自驾游要的就是轻松一点。,之前开大众车一般驾驶员左侧有一个小空间用于放置证件和票据的，一开始以为model y没有，还挺失望，结果群友推荐神器。确实好用，隐私性还特别好。,操控可以，方向精准，油门响应灵敏，高速踩就有，转向支撑也可以。,吉林提车沈阳开，三月十日提车，天气不是特别暖和。从吉林长春回沈阳，高速320公里。新车满电表显435。高速全程120km/h中间充了一次电。可能不充也能跑到。但是第一次开电车，信心不是特别足,是我喜欢的造型，不然也不能买不是。,漆面比较薄，蹭过一个垃圾桶，model y输了,"内饰只能说够用，而且大多都不耐脏且吸灰！对在车内吸烟的人不太友好，烟灰不好打理。
手机支架不太好挑选，放正前方方向盘会有遮挡，想不遮挡买了个吸附在中控屏上的支架，调节空调又特别麻烦。"
Model Y 2024款 后轮驱动版,流逝的岁月年华,"原本一个月3k油费现在只要200电费。
爽。。。。。",这车舒适型应该是好了很多了。但是还是比较运动。不是很舒适。买回来刚开始时候有点味道，要过一段时间才没有。原车漆显脏。,一般般够用。一家人外出远门油车，一个人就摩托车。特斯拉上班一个人开的。足够了。,"电车开着就是比油车运动。起速快。
转向很贼。我之前的车都没法比，习惯了好久。","两天充一次。有时候一天充一次。我有焦虑症。
手机低于30%焦虑现在车子低于200km续航也焦虑。",贴了改色。帅。改了个白变金（亚）。贴了熏黑的标志。,毛坯房。不过简单也许是最好的。有个油车走温馨风了。再来个毛坯风也不错。,五年免息。在加上现在的价格让之前买这个车的朋友要跟我恩断义绝了。,比我之前的油车不知道好多少。蛮好的。就是很多功能后期都要付费。
Model Y 2024款 后轮驱动版,Al史蒂芬,本来一心想换BBA的，试驾之后直接定了MY，正好降价14000，5年免息，要说满意的就是外观和空间了，之前两厢车空间有限，4月26订的车，4月30号就让提车了。,车漆真的太薄了，一个小石子都能蹦个坑，看见底漆，尤其周围车辆的开门杀，一碰就是一块漆，夏天是真的热，不开过热保护的话，车里动不动就是80度😂😂😂,储存空间真的棒👍🏻想到的想不到的地方都能放东西，后排座椅中间，前排座椅下面都可以买着小盒子放东西。,没吃过啥好猪肉，起步还是能秒百分之90的车的，操控也非常棒，送了三个月eap，高速，高架用的还不错，不过这个版本目前自动泊车和召唤不可用，推送了几次，还是不管用。,目前提车一个月了，跑了3500公里，可能因为夏季吧，一直开空调和过热保护，基本上一次充满跑300公里左右，4天一充，到现在没用过家充，一直都是快充0.94一度电，充过一次超充，好像2.6一度电，😂😂😂,目前表显435，夏天的话300左右,外观没得说，今年是星空灰，其它颜色都要8000，果断后期贴车子改色了，,吐槽的最多的就是内饰了吧，正儿八经毛坯房，而且基本都是毛毡，不大好清理，对抽烟的朋友也很不友好。,前排座椅比上个版本好一点了，没那么颠了，但是后排还是很颠，但是想想哪个运动版本的车不颠啊？我哥的E300运动，无论开还是坐，同样颠😂😂（自我安慰吧）
Model Y 2024款 后轮驱动版,兔斯基的特斯拉,特斯拉的三电系统和AP辅助驾驶，城区跑基本上百公里消耗电量在12KW左右，柔和模式下动力随踩随有，像3.0自吸燃油车，标准模式下电门非常灵敏，深踩一脚推背感很强，像3.0T增压车；AP辅助驾驶跑高速很省心省力，下拉俩次自动开启彩虹之路的辅助驾驶。,底盘还是偏硬，过一些沟沟坎坎反馈很明显，尤其是过减速带特别震。,储物空间非常大，前备箱可以放20寸行李箱和电脑包，后备箱下面可以放俩箱水以及杂物，后排座椅打倒可以当双人床，前后排乘坐空间也非常充裕。,驾驶偏运动风，方向盘一圈就能打死，真的指哪打哪，车辆循迹也很好，唯一不足就是倒车没360全景影像。,标续554，实际充满电435，50%高速和50%国道可以跑到这个435，纯国道可能跑的更多一些。,外观很好看，尤其是前脸和侧45度角特别流线型，就是从后面看有点像鼠标。,特斯拉内饰都说是毛坯房，反正就是够用吧，后续自己加装一些实用的东西。,"标续y裸车24.99，我是旧车置换，官方有5年免息，如果新购车就是3年免息，本地有个以旧换新车补5k,新车是3k，没有任何礼品。",车机流畅度很好，AP和EAP辅助驾驶很好用，就是自带的百度地图没高德地图好用，希望早日落地FSD
Model Y 2024款 后轮驱动版,青莲剑仙1,第一次开特斯拉，操控非常好，提速也很快，刚开始开的时候有点头晕，可能不太适应，因为之前开的是油车，换了电车加速和踩刹车适应了几天，现在换成单踏板模式，好很多了。我才开了几天的电车，就有点不想开油车了，哈哈😃（个人观点，不要喷我😭）从去年年中就开始关注，5月份果断入手，而且现在优惠力度也很大，还有补贴。就果断提车啦。,雨刮器有点神神经经的，还有是屏幕显示驻车辅助已降级，估计距离不准确，不知道什么问题。有车友分享下么,本人179。体重90KG。后排我觉得可以。前排完全没啥问题。,基本上可以指哪打哪，加速超车一气呵成。友情提示（开车还是安全第一啊）,我这几天用的舒适模式，改天可以试一试其他模式😊,高速可能用电量比较快，开了500多公里，有400这样是开高速。我觉得400多续航可能不太有，还有就是车友说的单踏板模式会省电好多，我昨天特提就设置了这个模式。看看耗电量吧,外观也好看，侧脸杀。哈哈😃家人们觉得怎么样。,好多朋友说内饰像毛呸，我个人是可以接受的，不用太多复杂的软件，够我用，太多奇奇怪怪的我也搞不来,目前没太多感觉，一直开车比较多。路段查的没怎么去过
Model Y 2024款 后轮驱动版,有心人___,油门响应速度，驾驶感受，简单干净的内饰，侧面线条,没有hud，电车续航还是短了些，没有座椅通风,我186坐进去也不紧促，挺好的。储物空间很大,加速响应挺好的，跑了800公里高速也不错，是一个让人喜欢开的车。用习惯单踏板，确实不喜欢踩刹车了,400公里左右还是少了些，节假日远途还是吃紧。希望电池技术再发展，早日突破1000公里,太阳底下很好看，侧面线条不错。不过还是model3更好看，但是对我来说太小了,挺喜欢这种简简单单的内饰的，不过没有hud和座椅通风，真的差评,整体还不错吧。现在同价位也有很多国产可以选，自己还是选了销量最高的，省心,地图不如手机好用。紧急避障救了我一次，差点追尾。前车追尾提示挺好用，希望网上那些情况不要出现在我身上
Model Y 2024款 后轮驱动版,沈阳车友7018630,这个车最满意的就是，他的操控特别精准，方向指哪打哪，加速给力，自从买了这车想去哪就去哪，再也不用操心油费了，比较按了家充，充满只需要一顿饭钱，还有就是买特斯拉价格特别透明，没有套路，这个是非常值得推荐的我,这个车最遗憾的就是没有官方给的座椅通风，一到夏天后背屁股总是湿漉漉的，也不敢去外面改装怕影响质保，还有没有焕新3的环抱是氛围灯，现在的氛围灯太单一了，也不敢去外面改装，还有头顶不安防晒是在太热了，放在外面都有60多°了，让人怀疑人生兼职。,超大的后备箱，放倒就可以露营，每到中午休息时候是我必须要在里面眯一下的，物品储存空间也是特别充足，能赶上小货车了,动能回收特别好，一开始还不是很适应，习惯了之后简直没得说，我感觉再也换不回油车了，加速给力，非常只给，非常有乐趣的驾驶感受。让人爱不释手。,在城市里续航还是满足的基本上一个礼拜也就冲个1-2次电，高速折扣略微不足有点后悔没有上长续航了，家里有个充电桩还是能满足日常需求的,溜背的造型是我特别喜欢的一点，就喜欢这种运动信息特别足的感觉，无边框的车门特别帅气，就是有点担心关门重的时候会不会影响，看到别人使劲关门，总是忍不住提醒。,特斯拉的超充都在商场我觉得很方便，上楼逛逛街下来就充满了，这个是特别方便的我，遗憾的我就是价格小贵，而且还要交两份钱，要是收个充电钱我觉得这样会很好，希望以后能调整。,内饰做工简约一些，单数没有特别味道是非常好，唯一可惜的是现在没有座椅通但是空调效果非常给力，音响是我非常喜欢的虽然不是很有名的品牌，但是调教的我真的很好，能满足我各类音乐的风格，朋友而且露营可以外放是非常方便的。,我是赶上活动分期买的，个人感觉现在分期免息优惠力度还是特别大，没有最便宜的价格只有最合适的方案，适合自己就快下手吧
Model Y 2024款 后轮驱动版,梦想家Francis,"1. 电耗控制。每次车机导航给到的预计的剩余电量百分比都是很准的，解决了一些续航里程焦虑。
2. ap开启后，在高速和快速路可以控制一些能耗，并辅助车道保持。但是注意力还是要集中。",车机导航：实时的避开堵车跟手机高德地图相比，感觉还是没那么智能。,平时一家三口使用，空间足够。虽然自己加装了中控下方储物层，类似中控扶手箱的储物空间的隔层，在某宝一搜一大堆，也确实因为原厂的空间够大，把空间分隔一下，使用了十几天还是挺好用的。,前备箱应该是这辆车最大的亮点了，尤其是停在地下车位，停车后后方是墙的情况下，前备箱用起来就太方便了,主驾位置可以设置“方便进出”功能，上下车都会自动调节座椅，这个还是很好用的。由于第二排右侧是孩子的安全座椅增高垫，所以副驾的座椅可以调的比较靠后，足够使用。,家庭出行的话两三个24-28寸的行李箱肯定可以容纳。后排座椅放倒后可以放一个专用床垫，虽然我没用过，但看车友们的分享，看起来还是很舒服的。不常用的基本都收纳到后备箱掀起后下方的储物层，这个感觉很好用。后备箱两侧还有两个很深的储物空间，可以放些平时随手能取出的零零碎碎，后备箱看起来不那么杂乱。,四个车门都有储物空间，可以放一些瓶装水或者湿巾等等一些需要随手拿取东西，这一点好评！前排分别两个储物空间，一个是中控屏下方，另一个是扶手箱。空间还是很大的，我自己加装了隔层，用起来很方便。,最多坐老婆和孩子，前排驾驶位在“方便进出”的情况下，老婆的乘坐腿部空间大概左侧腿部空间两拳多一些，头部空间也足够，右侧安全座椅增高垫，方便幼儿园接送上下车。,从燃油车换到新能源，适应了半天就OK了。用好电门踏板的动力回收，可以明显的减少踩刹车的次数，真开起来还是很舒服的。底盘感觉很整，超车、变道都很游刃有余，在这之前真没想到model Y可以做成这样，这一点体验感是非常好的。
Model Y 2024款 后轮驱动版,设计是空ES,刚提车1周，确实比油车开起来顺手，也许是我也没开过什么好车吧。特斯拉电动车的智能化确实比油车要好一些，一个手机就可以控制车，再也不用带车钥匙出门了，感觉像买了个大玩具。虽然是城市SUV，感觉操控还可以，指向精准、加速和操控还是在线的。从油车油耗的角度来说，电车每公里的电费确实很低，目前核算在1毛钱一公里，家充装好后设置23点以后充电应该会更低。空间，空间，空间，重要的事情说三遍，空间是我最满意的，ModelY只有4750长，内部空间真的比很多五米长的车还大，家用真的很不错。,"目前没有什么特别不满意的地方，只谈谈我用车的几点感受吧：
1、2024款ModelY取消了雷达，用纯视觉方案，倒车时不显示倒车距离了，希望可以OTA改进一下；
2、2024款ModelY悬架是真的硬，过减速带是真心不爽，当然硬是为了支撑性和操控，我觉得既然是定位家用，还是可以把悬架再调软一点点；
3、我本以为特斯拉的车机系统会很复杂，结果十几分钟就完全玩会了，没达到我的预期，没有想像中的那么智能和好玩，估计“遥遥领先”的应该功能多一点，人车交互和本土化肯定要做得好一点；
4、车机系统自带的导航（百度地图）是真的难用，找充电桩可以，但是导航真不行，建议大家还是用手机导航，以免被误导；
5、2024款ModelY又减配了，中控台原来的木纹饰面减配成织物状的材质了，哎...确实是以前车主口中的“毛坯房”，还需要花一笔钱“装修”；
6、特斯拉是出了名的背刺老车主，刚提回来3月1号又出了8k的保险补贴，还是应验了那句话：你永远买不到最便宜的特斯拉！“早买早享受”这句都是安慰自己的！“晚买有优惠”这句才是真理！如果不迫切换电车的车友，请相信我，再等等......
买车本就是各人下雪，各人有各人的隐晦与皎洁。每个人的需求不一样，买到自己觉得大多数方面都满意的车就可以了，车无完车！",ModelY的空间是这辆车我最满意的方面，确实很能装。中控箱、扶手箱也比一般的车辆空间大，前备箱、后背箱下面还有一个储物箱，一家人出行的行李完全不在话下。网上有很多小物件还可以开发一些小空间来储物。这个全景天窗我比较喜欢，给人一种很通透的空间体验感。ModelY全景天窗原厂镀膜颜色比较深，二排乘坐不会感觉刺眼，天窗不用去贴膜，如果夏天感觉热就买个遮阳帘吧。,ModelY第二排空间富余量还是很不错的，头部和腿部空间都很好，没有压抑的感觉。第二排座椅可以调节靠背角度，坐姿还是比较舒服的。后门的应急拉手设计的位置非常不合理，紧急情况下确实不方便开启后门。,门板储物格、扶手箱、手套箱的空间都是很不错的，特别是中控下方的储物空间是真的大，车内前排的储物空间真的是没话说！但还是需要买个手机支架。,后背箱空间太可以了，后备箱下方还有一个储物格，一家人出行的行李完全不在话下，后排放倒后可以铺个双人床垫，秒变移动大床房，喜欢露营的家庭买ModelY不会后悔的。,前备箱空间有100多升，又能多装一些行李，我个人觉得前备箱拿取小物件是比较方便的。,操控还是很可以的，指向精准，只是方向盘有点重、悬架有点硬，目前还没有在高速上使用过AP，以后再谈感受吧。驻车没有距离提示，目前还不太习惯，希望后期OTA可以升级。,目前只充过一次电，花了30来块，正在申请电表安装家充，车友们可以给我推荐一下充电桩品牌，先谢了。开了哨兵模式感觉有点耗电，续航中规中矩吧，特斯拉的三电系统技术还是挺牛的，所以60度的电池包还是很能打的。很多其他电车品牌三电系统很占空间，搞得连前备箱和手套箱都没有。
Model Y 2024款 长续航全轮驱动版,小尼吃不饱,"面子里子都有了。
外形好看+空间够大+电车充电便宜
这三个点我都很满意 。预算30w。真是喜欢奔驰想着努努力买个奔驰。可是一想到加油就心疼！因为我门家用车比较多满城市跑来跑去。加油一天快一百了加电才20。这性价比是真香啊👍品牌也够大面子也够了～其实，在选择特斯拉之前看了很多电车，最后对比了一些还是选择了特斯拉，特斯拉不管是电池还是提速方面个人感觉真的很碾压同级别的车！而且Y这款车，真的很适合家用，不管是出去露营还是出门带家里人带孩子出去游玩，真的是又能装又能休息！","减震太差了
别的都挺满意的。就是这个减震太不好了。沈阳的路面坑坑洼洼挺多的。还有停车场也有减速带。开过来咯噔咯噔的真的很颠啊过山车啊🎢家人们谁懂啊😵‍💫尤其是下地库，碰到大一点的全程都是咯噔咯噔咯噔的😵‍💫真的很像在越野！",我俩一个一米八一个一米七都是大体格子。当时纠结3跟y。但是我俩体格坐3有点挤。还是Y空间大坐着舒服一些。后座空间也够用回头按个儿童座椅也够用。后备箱真的很能装！过年买送礼水果一后备箱都能放下了。特斯拉秒变特能拉。哈哈而且平时可以装一些我们采购的东西，还可以放个床垫，我们出去露营的时候包括出去玩累了的时候，可以躺在后面睡觉，后面的空间足够我跟我对象两个人睡，一点不会挤！,"快提速快！
之前开油车。次次起步比别人慢。换了特斯拉，现在好了一下就窜出去了哈哈哈哈哈
方向盘可以调节轻重。这个很人性化了之前我油车比较重习惯了。
刹车需要用力踩。这点得注意一下。有时候用不上力气踩不到位。
个人喜欢舒适的模式，开起来不累而且很安全，而且车内静音很好！
运动模式的话就真的很快了，百公里四秒多，在没有人的路上真的可以感受一下，一脚油门下去直接，嗖的一下就出去了，但是用这个模式的一定要注意一些，刹车方面一定要注意，遇到情况真的要用力踩下去才会很快的停下来！","沈阳春夏秋冬。冬天掉电快。果断选择长续航版。安全感因为我们家每天用车量比较大。满沈阳飞快赶上半个滴滴司机。冬天也就能剩一半的电吧。我们基本上是一天一充电。零上电就掉的慢了充电也挺快的，
都说东北不适合开电车，我感觉特斯拉就挺好的，在冬天这么冷的情况下，家用完全是够用的，我自己家里有充电桩，回家了就冲上，第二天出门之前肯定是满电的，就算在外面冲，40分钟也是能搞定的！",颜值肯定是选车的标准之一了。我感觉这个车看着有点卡宴的感觉呢。线条很流畅喜欢💕我们买的就是最基本的黑色。黑漆很亮。但是黑色不耐脏。我们贴了车衣有贴了一层改色膜选了一个灰色！好看耐看耐脏！还带着点科技感。,我们买的黑色的车🚗内饰也选的是全黑。就是不加钱的基础班。喜欢白色内饰但是担心牛仔之类的衣服染色就还是选择了黑色，安全🔐！座椅坐着挺舒服的。建议自己买个腰枕跟头枕更舒服。座椅加热很快很热。有点烫屁股，但是大姨妈的时候烤着还挺舒服的哈哈哈,因为性价比才买的。感觉面子里子都有了。我家用车量大。买个同价位的油车加油真心心疼。之前油车我们家油车200的油也就三天吧，现在开这个一天20吧。哈哈哈，开起来一点都不心疼了！！送个朋友回家去个仓储超市去个棋盘山说走就走。性价比不用说，我对比了这么多电车，最后能选择特斯拉，性价比绝对是杠杠的！,智能化这点应该是这个车的优势吧。充电的时候可以看个电视剧玩个小游戏啥的。惬意😌哨兵模式很安心毕竟是新买的车真的很担心车子被刮。这个哨兵模式真的挺好的，因为我真的半夜被人拉过车门是我从监控看到的，而且还被人开门杀撞了们，也是我通过这个哨兵模式找到的！所以这个真的太好了实话实说，虽然现在很多机关单位不让特斯拉进，但是我个人感觉这个功能确实很有用，很不错！
Model Y 2024款 后轮驱动版,at9j5holq,最满意的就是他的空间因为我有宝宝吗所以买车的时候打开它的后备箱我直接就订了哈哈真的超级超级大，还有我喜欢颜值这车的颜值就是长在我的审美上真的太喜欢了我太爱开了：而且买特斯拉的售后服务巨好真的。,那就是地盘跟刹车片了、地盘感觉过坑有点硬、刹车的时候有刺耳的声音我也不太懂怎么回事儿,我媳妇儿是孕妇前排特别的大因为他的肚子大吗坐刷车费劲但是特斯拉跟宽敞,加速我感觉人在前面跑灵魂在后面追哈哈偶尔打开一下标准模式特别爽,我在沈阳续航表现比同级别车要完美很多因为沈阳温度也不是太低所以续航我认为完美,外观的线条我很喜欢特别是宽体的设计我简直太喜欢了,我媳妇儿就奔着内饰去的我感觉看着很高级我就不喜欢冰箱彩电大沙发,性价比超级高反正也是因为我喜欢这款车吧价位性价比太高了,语音功能特别好用一按就出来很方便我基本上都很实用
Model Y 2024款 后轮驱动版,鬼火中年的玩具车,从开了10年的手动捷达换到这个车，哪哪都觉得比之前的车好太多了😂,"最不满意的就是购车过程体验太差，其实一开始真不打算买特斯拉的，看过了很多电车，觉得现在国产电车也很不错，选择也很多，选车过程中看了零跑c11 c10，深蓝s7，汉、海豹等等，比较喜欢深蓝s7，毕竟车也不小，而且价格也比较合适，老婆看了也比较喜欢，可是老婆还是最喜欢特斯拉，一直都想要买这款，中间也讨论过，老婆也吵过，最后还是按照老婆的想法提了这款车。
下定到提车中间被套路了两次，第一次下定被成都的销售套路了，下定了23款的一辆退保车，说是优惠了但是其实优惠得很少，后来也听别人说那款车都挂了很久了也没卖出去，所以后来没有去提，但是一直协商退定金也没协商下来。
第二次是被本地销售套路的，承诺了一大堆东西和车辆优惠，结果在4.22优惠出来那天也没联系我，我看到网上有优惠后去联系，结果发现他离！职！了！也可能是他正好在特斯拉的裁员大军里。但是离职后一直没有主动联系过我告知我这件事，并且特斯拉官方也一直没有派新的销售和我对接，包括销售给我承诺的优惠政策和赠品都没有了，过后就和特斯拉开启了扯皮模式，一直投诉可是没卵用，整个过程体验很差，我是真的不想要了，想换其他品牌了，可是还是老婆想要，没办法，最后就在4.30号提车了。
真的希望好好整改一下吧。",我是从开了10年的手动捷达换过来的，鸟枪换炮，这个空间我很满意，和媳妇儿都是小个子，空间完全够用，五一出去玩在车上睡了一次，体会到了别人说的床车，真香。,"电车加速还是很给力的，从油车换到特斯拉，也没觉得有哪里不适应，虽说是suv，但是和我之前的轿车没什么区别，开车山路过弯也很稳。
朋友的特斯拉是23款的，开了我的新款，觉得大差不差，各方面感受都差不多，只是4.0取消了雷达识别，不显示距离，可能对一些新手来说感官要差一点。","续航降到30％以下就会开始心慌，提车以来充了几次电，最低一次是还剩60km去充的，跑高速的话差不多跑300km就找充电桩了，不然心里没底，可能是我刚从油车换过来，对这个续航还不适应比较心慌吧，不知道其他车主是不是会更大胆一点。还是希望特斯拉能加大电池吧，毕竟现在其他品牌的电车，入门级别配备的电池容量都比特斯拉的大😂
从油车换到电车的单踏板模式没有不适应，感觉这个能耗也比较低，其实平时我开车并不慢，高速和城市道路、国道都开了，也没出现网上那些动不动能耗在16kwh以上的现象。",外观见仁见智，每个人喜欢的和感受的不一样，对于我来说是很喜欢这款车外观的。,内饰:出了名的毛坯房，需要装饰的地方太多，但是也有人喜欢这极简风格的，对于我来说不好不坏吧，媳妇儿就按照自己的喜好布置了。,讲真的，性价比真赶不上国产车，各方面的配置等国产电车现在做得越来越好，现目前特斯拉的配置和价格是对不上的，还是希望放下自己电车老大的傲气，顺应购车人的意见改进一些。,"特斯拉的智能放在几年前就是老大，但是现在国产车越来越多，智能本土化也做得越来越好，和其他品牌的电车相比，现在还是稍显落后了。
但还是那句话，对于从10年手动老车换到这个车，还要啥自行车，比以前的车智能太多了，够用就行。"
Model Y 2024款 后轮驱动版,SoberLau,提速快，空间大，电耗低，隐形配置高，方向精准,转弯半径太小，座椅太硬放不了太低，长途驾驶会有些疲惫感,空间大到不可想象，满满一后备箱完全可以做到车内隐形，各种角落都可以成为秘密储物箱,加速有力，电门设置合理，方向盘力度适中，刹车线性。总体来说是台好车,60度的续航堪比80度，电耗控制做的特别好,经典流线型鼠标外观，再过十年也不过时，星空灰配熏黑轮辋，动感十足,内饰简洁，配置丰富，集成到屏幕科技感十足。,31的标续太高端，24.99加免息的标续太划算，一个字冲,看不到的配置特别丰富，越来越喜欢这个毛坯房了
Model Y 2023款 后轮驱动版,王阿圆,购买特斯拉modle Y大概八个月的时间，最满意的地方就是续航里程还是很精准的。而且超级充电站充电非常方便，电池预热以后的充电速度非常快，而且特斯拉自己的超级充电站没有占充电位置不充电的车主，不像第三方充电站就很麻烦，要么停着油车，要么停着新能源不充电的车，让需要充电的车主很烦恼，。还有就是价格很透明，不像传统ssss店套路超级多，这样对每个车主都一视同仁，很公平，,这个车最大的遗憾就是夏天的天窗，有点吸热，不过特斯拉的配套产品可以自己购买遮阳帘，电动的，手动的都有，花点钱都是可以解决的。还有就是希望有座椅通风功能，外面改装需要动线路，有点不放心，在网上可以买通风坐垫也是可以解决这个问题。,空间是我最满意的，后备箱，后备箱，后备箱底层还有个隐藏空间，很深，装载能力真的是特别棒，后座放平以后铺个床垫就是露营车了，出门酒店钱都省了，还有就是主驾驶扶手箱很深，储物空间真的是特别棒。,特斯拉是我目前开过新能源车型里油门响应最精准的车，因为在换车之前也试驾了其他国产品牌的车，除了配置多了一些，真的在转向精准度和油门响应程度跟特斯拉不在一个水平线上。还有就是单踏板模式用习惯的人，真的是太香了。,我的城市在东北沈阳，冬天最冷也将近零下三十度了，基本5折的续航吧，因为家里安装了充电桩，充电还是非常方便的，也没有续航的焦虑，就算出门特斯拉超级充电桩到处都是，充电速度快，没有恶意占车位的，所以还是非常方便的。,百看不厌的溜背车身流线造型，科技感十足，路上的回头率还是挺高滴。,最简单的才是最高级的，本来我也不喜欢车里有太多花里胡哨的东西。,我觉得特斯拉这款车，是老百姓花二十多万能买到最好的新能源汽车了，完善的车机系统，算力强大。很多人吐槽特斯拉的各种缺点，可是在销量上遥遥领先，销量可以说明一切问题。,ota系统的升级真的是特别棒，不论是哪年购买的特斯拉车型，在有新功能更新的时候可以全部覆盖，不需要去ssss店升级，晚上回家设置具体升级时间，就什么都不用管了，第二天就多了很多新的功能，这的很赞。
Model Y 2023款 后轮驱动版,LeeLee0404,1.最满意的就是整车的科技感，极简化的设计2.电车不用加油省钱3.开的时候很安静4.电车加速非常的快，非常刺激5.空间也比较大，后排可以放一个双人床，野外露营的时候还可以休息。,1.内饰过于极简，但这也是我喜欢的感觉，科技感未来感2.后轮驱动操控感很好随之而来的也是冬天会滑一点，如果冬天没有雪地胎，在路上不敢快开3.大天幕很好随之而来的也是会比较热,整个车非常的能装，区别于传统的油车，前面也能装很多东西，后备厢更不用提了，放倒可以放一张床，储物空间巨大，自驾，露营出去玩想放什么放什么。,加速非常的快，操纵很好，指哪打哪，油门力度刚刚好，起步也很快，跑高速开启ap简直不要太爽，非常的灵敏，动能回收系统很好用，但是单踏板我还是得习惯一段时间,春夏秋续航都可以接近1：1.2充电时间非常的迅速，正常充电桩不到一小时可以充满，但是冬天会打一些折扣续航，后悔没有买长续航，现在开电车也不用省钱想去哪就去哪，出门上个厕所都想开车,当初买的时候就是最基础的全黑外观，可以说是非常的喜欢了 黑色就是沉稳 稳重，以后改颜色也方便，车头低趴，整个线条非常的流畅。都说买了特斯拉不改色等于白买，所以以后肯定会进行改装，改色！,内饰简简单单没有过多的花哨东西比较喜欢，空调调节功能很灵敏，前后排座椅加热非常有用，可以说整个内饰都是毛坯房了但是这就是未来科技的发展所在，一切都是控制在屏幕上一切简化，自己想怎么装修就怎么装修,"当初本来想买3但是这俩当时差了不到一千就想一步到位直接买了y,后来赶上8000保险补贴，6000政府补贴总的来说还是很划算，相对比油车性价比高的出奇充满电也就30块钱能跑400km,后期也不需要保养，性价比非常高",智能化挺高的ap自动驾驶大屏也很灵敏可以跟很多软件兼容，要是能搭载CarPlay就更好了简直是无敌，大屏幕还可以当ipad玩可以在充电的时候消磨时间玩玩游戏都可以。
Model Y 2023款 后轮驱动版,WBQ0621,1:特斯拉model y的驾驶感受，让我感觉和以前传统的油车不是一个时代的产物。2:从经济方面来说也是特别的省钱。 3:空间也非常大，还有露营🏕️模式。,"1，内饰真的是毛坯房，我买完车之后自己还买了好多的配件。
2，和国产车来比，配置低了很多，而且续航里程也不多，冬天特别后悔没买长续航。
3，自动泊车和自动变道还得需要加钱买。经常感觉自己是大韭菜。",特斯拉model y的空间真的非常大，前备箱，后备箱以及后备箱下方储物格以及车座下面都能储藏很多东西，我的朋友，开着特斯拉model去全国自驾游把所有的东西都能放在车上。基本上没住过旅店,让我特别喜欢驾驶特斯拉，因为真的能做到人车合一的感觉，尤其是上手之后用的“单踏板模式” 让我基本上没踩过刹车。 脚下的电门踩多少有多少，相当于是没有延迟，我也开过朋友的其他电车，感觉肉筋筋。,"为啥续航我给的分这么低？就是因为我买的是标续，虽然说在市内通勤完全够用，但是想要出远门的话，着实有点儿不太够用 ，买特斯拉没后悔过，唯一后悔的就是没买长续航。
尤其在东北的冬天，标续续航里程也就是200公里",外观是我喜欢的样子，前脸儿。跟保时捷的感觉一样，但我不喜欢特斯拉毛豆y的后备箱那，个人感觉有点儿憨,"作为20多万的车，跟bba相比，内饰可以说啥也不是，没有豪华车的影子，还得需要自己装修，但我开了几个月的时间，发现越瞅越顺眼！就那种没有多余的东西，所有的操作基本上都集中在屏幕，反而让我更加喜欢上了这种简洁的感觉。。
差的那一颗星，就是朋友上我车，总被吐槽太简陋。","特斯拉性价比对比传统燃油车来说，性价比非常高，因为能节省不少的油费和后期保养费用。
但是对比其他国产新能源的汽车来说，性价比不是很高。因为现在国产车也太卷了，配置，价格都完全碾压特斯拉。","智能化是我喜欢电车的主要因素，其中Ap辅助驾驶可以让我很轻松的开高速。还有车机的娱乐功能，可以无线畅玩儿，不用担心没电。
如果花钱解锁：自动泊车，召唤功能，自动变道等功能，那将会更加有乐趣"
